condition,expected_fire,method,fire_rate,ci_lo,ci_hi,n_seeds
M1,False,CMI,0.3333333333333333,0.0614903152761605,0.7923450448735121,3
M1,False,Pearson,1.0,0.43849391955098227,1.0,3
M1,False,PartialCorr,1.0,0.43849391955098227,1.0,3
M1,False,ResidualDCor,1.0,0.43849391955098227,1.0,3
M2,True,CMI,1.0,0.43849391955098227,1.0,3
M2,True,Pearson,1.0,0.43849391955098227,1.0,3
M2,True,PartialCorr,1.0,0.43849391955098227,1.0,3
M2,True,ResidualDCor,1.0,0.43849391955098227,1.0,3
M3,False,CMI,0.3333333333333333,0.0614903152761605,0.7923450448735121,3
M3,False,Pearson,1.0,0.43849391955098227,1.0,3
M3,False,PartialCorr,1.0,0.43849391955098227,1.0,3
M3,False,ResidualDCor,1.0,0.43849391955098227,1.0,3
