condition,expected_fire,method,fire_rate,ci_lo,ci_hi,n_seeds
M1,False,CMI,1.0,0.7961107336956521,1.0,15
M1,False,Pearson,1.0,0.7961107336956521,1.0,15
M1,False,PartialCorr,1.0,0.7961107336956521,1.0,15
M1,False,ResidualDCor,1.0,0.7961107336956521,1.0,15
M2,True,CMI,1.0,0.7961107336956521,1.0,15
M2,True,Pearson,1.0,0.7961107336956521,1.0,15
M2,True,PartialCorr,1.0,0.7961107336956521,1.0,15
M2,True,ResidualDCor,1.0,0.7961107336956521,1.0,15
M3,False,CMI,0.2,0.07047420643610414,0.4518593533465045,15
M3,False,Pearson,1.0,0.7961107336956521,1.0,15
M3,False,PartialCorr,0.6666666666666666,0.41713125151212976,0.8482389930530876,15
M3,False,ResidualDCor,0.8,0.5481406466534955,0.9295257935638959,15
