condition,expected_fire,method,fire_rate,ci_lo,ci_hi,n_seeds
M1,False,CMI,1.0,0.7961107336956521,1.0,15
M1,False,Pearson,1.0,0.7961107336956521,1.0,15
M1,False,PartialCorr,1.0,0.7961107336956521,1.0,15
M1,False,ResidualDCor,1.0,0.7961107336956521,1.0,15
M1,False,LLMJudge,0.0,0.0,0.20388926630434784,15
M2,True,CMI,1.0,0.7961107336956521,1.0,15
M2,True,Pearson,1.0,0.7961107336956521,1.0,15
M2,True,PartialCorr,1.0,0.7961107336956521,1.0,15
M2,True,ResidualDCor,1.0,0.7961107336956521,1.0,15
M2,True,LLMJudge,0.13333333333333333,0.0373604698913593,0.3788249920651624,15
M3,False,CMI,0.0,0.0,0.20388926630434784,15
M3,False,Pearson,1.0,0.7961107336956521,1.0,15
M3,False,PartialCorr,0.3333333333333333,0.15176100694691236,0.5828687484878701,15
M3,False,ResidualDCor,0.6,0.357464427565077,0.8017577191740534,15
M3,False,LLMJudge,0.06666666666666667,0.011866588606194856,0.2981707755242399,15
