condition,expected_fire,method,fire_rate,ci_lo,ci_hi,n_seeds
M1,False,CMI,0.6,0.357464427565077,0.8017577191740534,15
M1,False,Pearson,1.0,0.7961107336956521,1.0,15
M1,False,PartialCorr,1.0,0.7961107336956521,1.0,15
M1,False,ResidualDCor,1.0,0.7961107336956521,1.0,15
M2,True,CMI,0.13333333333333333,0.0373604698913593,0.3788249920651624,15
M2,True,Pearson,1.0,0.7961107336956521,1.0,15
M2,True,PartialCorr,0.8666666666666667,0.6211750079348376,0.9626395301086407,15
M2,True,ResidualDCor,0.8,0.5481406466534955,0.9295257935638959,15
M3,False,CMI,0.6666666666666666,0.41713125151212976,0.8482389930530876,15
M3,False,Pearson,1.0,0.7961107336956521,1.0,15
M3,False,PartialCorr,1.0,0.7961107336956521,1.0,15
M3,False,ResidualDCor,1.0,0.7961107336956521,1.0,15
