condition,expected_fire,method,fire_rate,ci_lo,ci_hi,n_seeds
M1,False,CMI,0.8666666666666667,0.6211750079348376,0.9626395301086407,15
M1,False,Pearson,1.0,0.7961107336956521,1.0,15
M1,False,PartialCorr,1.0,0.7961107336956521,1.0,15
M1,False,ResidualDCor,1.0,0.7961107336956521,1.0,15
M1,False,LLMJudge,0.06666666666666667,0.011866588606194856,0.2981707755242399,15
M2,True,CMI,0.06666666666666667,0.011866588606194856,0.2981707755242399,15
M2,True,Pearson,1.0,0.7961107336956521,1.0,15
M2,True,PartialCorr,1.0,0.7961107336956521,1.0,15
M2,True,ResidualDCor,0.9333333333333333,0.7018292244757601,0.9881334113938051,15
M2,True,LLMJudge,0.06666666666666667,0.011866588606194856,0.2981707755242399,15
M3,False,CMI,0.6,0.357464427565077,0.8017577191740534,15
M3,False,Pearson,1.0,0.7961107336956521,1.0,15
M3,False,PartialCorr,1.0,0.7961107336956521,1.0,15
M3,False,ResidualDCor,1.0,0.7961107336956521,1.0,15
M3,False,LLMJudge,0.06666666666666667,0.011866588606194856,0.2981707755242399,15
