seed,condition,method,value,fired
0,M1,CMI,0.009950248756218905,1
0,M1,Pearson,0.004975124378109453,1
0,M1,PartialCorr,1.8692145232225173e-10,1
0,M1,ResidualDCor,0.004975124378109453,1
0,M1,LLMJudge,0.12,0
0,M2,CMI,0.004975124378109453,1
0,M2,Pearson,0.004975124378109453,1
0,M2,PartialCorr,1.9162739234817136e-51,1
0,M2,ResidualDCor,0.004975124378109453,1
0,M2,LLMJudge,0.35,0
0,M3,CMI,0.9950248756218906,0
0,M3,Pearson,0.029850746268656716,1
0,M3,PartialCorr,0.09665332759903443,0
0,M3,ResidualDCor,0.05970149253731343,0
0,M3,LLMJudge,0.07,0
1,M1,CMI,0.009950248756218905,1
1,M1,Pearson,0.004975124378109453,1
1,M1,PartialCorr,7.294561763361024e-15,1
1,M1,ResidualDCor,0.004975124378109453,1
1,M1,LLMJudge,0.15,0
1,M2,CMI,0.004975124378109453,1
1,M2,Pearson,0.004975124378109453,1
1,M2,PartialCorr,1.2471001414309817e-32,1
1,M2,ResidualDCor,0.004975124378109453,1
1,M2,LLMJudge,0.2,0
1,M3,CMI,0.9601990049751243,0
1,M3,Pearson,0.004975124378109453,1
1,M3,PartialCorr,0.001069649334964162,1
1,M3,ResidualDCor,0.004975124378109453,1
1,M3,LLMJudge,0.75,1
2,M1,CMI,0.11442786069651742,0
2,M1,Pearson,0.004975124378109453,1
2,M1,PartialCorr,1.5903414321212755e-14,1
2,M1,ResidualDCor,0.004975124378109453,1
2,M1,LLMJudge,0.72,1
2,M2,CMI,0.004975124378109453,1
2,M2,Pearson,0.004975124378109453,1
2,M2,PartialCorr,1.4028201585447668e-19,1
2,M2,ResidualDCor,0.004975124378109453,1
2,M2,LLMJudge,0.8,1
2,M3,CMI,0.22388059701492538,0
2,M3,Pearson,0.009950248756218905,1
2,M3,PartialCorr,0.060940938139394225,0
2,M3,ResidualDCor,0.009950248756218905,1
2,M3,LLMJudge,0.1,0
3,M1,CMI,0.04975124378109453,1
3,M1,Pearson,0.004975124378109453,1
3,M1,PartialCorr,2.0935174436335453e-06,1
3,M1,ResidualDCor,0.004975124378109453,1
3,M1,LLMJudge,0.15,0
3,M2,CMI,0.004975124378109453,1
3,M2,Pearson,0.004975124378109453,1
3,M2,PartialCorr,2.0061942986948394e-22,1
3,M2,ResidualDCor,0.004975124378109453,1
3,M2,LLMJudge,0.15,0
3,M3,CMI,0.7114427860696517,0
3,M3,Pearson,0.004975124378109453,1
3,M3,PartialCorr,0.00042391410475662157,1
3,M3,ResidualDCor,0.004975124378109453,1
3,M3,LLMJudge,0.15,0
4,M1,CMI,0.004975124378109453,1
4,M1,Pearson,0.004975124378109453,1
4,M1,PartialCorr,3.493865620361031e-20,1
4,M1,ResidualDCor,0.004975124378109453,1
4,M1,LLMJudge,0.72,1
4,M2,CMI,0.004975124378109453,1
4,M2,Pearson,0.004975124378109453,1
4,M2,PartialCorr,1.461154111186738e-32,1
4,M2,ResidualDCor,0.004975124378109453,1
4,M2,LLMJudge,0.85,1
4,M3,CMI,0.6716417910447762,0
4,M3,Pearson,0.009950248756218905,1
4,M3,PartialCorr,0.058078540278136206,0
4,M3,ResidualDCor,0.04477611940298507,1
4,M3,LLMJudge,0.85,1
5,M1,CMI,0.004975124378109453,1
5,M1,Pearson,0.004975124378109453,1
5,M1,PartialCorr,3.724691872082778e-19,1
5,M1,ResidualDCor,0.004975124378109453,1
5,M1,LLMJudge,0.25,0
5,M2,CMI,0.004975124378109453,1
5,M2,Pearson,0.004975124378109453,1
5,M2,PartialCorr,5.179787117465025e-50,1
5,M2,ResidualDCor,0.004975124378109453,1
5,M2,LLMJudge,0.15,0
5,M3,CMI,0.9353233830845771,0
5,M3,Pearson,0.014925373134328358,1
5,M3,PartialCorr,0.08373716265702581,0
5,M3,ResidualDCor,0.014925373134328358,1
5,M3,LLMJudge,0.15,0
6,M1,CMI,0.004975124378109453,1
6,M1,Pearson,0.004975124378109453,1
6,M1,PartialCorr,1.1272765194777314e-15,1
6,M1,ResidualDCor,0.004975124378109453,1
6,M1,LLMJudge,0.85,1
6,M2,CMI,0.004975124378109453,1
6,M2,Pearson,0.004975124378109453,1
6,M2,PartialCorr,8.002113876391678e-31,1
6,M2,ResidualDCor,0.004975124378109453,1
6,M2,LLMJudge,0.15,0
6,M3,CMI,0.845771144278607,0
6,M3,Pearson,0.004975124378109453,1
