seed,condition,method,value,fired
0,M1,CMI,0.004975124378109453,1
0,M1,Pearson,0.004975124378109453,1
0,M1,PartialCorr,0.017945475148566224,1
0,M1,ResidualDCor,0.03482587064676617,1
0,M2,CMI,0.004975124378109453,1
0,M2,Pearson,0.004975124378109453,1
0,M2,PartialCorr,4.970208669239681e-21,1
0,M2,ResidualDCor,0.004975124378109453,1
0,M3,CMI,0.01990049751243781,1
0,M3,Pearson,0.004975124378109453,1
0,M3,PartialCorr,3.4169142768506957e-08,1
0,M3,ResidualDCor,0.004975124378109453,1
1,M1,CMI,0.014925373134328358,1
1,M1,Pearson,0.004975124378109453,1
1,M1,PartialCorr,0.04760177078299564,1
1,M1,ResidualDCor,0.0845771144278607,0
1,M2,CMI,0.004975124378109453,1
1,M2,Pearson,0.004975124378109453,1
1,M2,PartialCorr,3.5577533938692846e-19,1
1,M2,ResidualDCor,0.004975124378109453,1
1,M3,CMI,0.27860696517412936,0
1,M3,Pearson,0.004975124378109453,1
1,M3,PartialCorr,1.8290747110668085e-06,1
1,M3,ResidualDCor,0.004975124378109453,1
2,M1,CMI,0.024875621890547265,1
2,M1,Pearson,0.004975124378109453,1
2,M1,PartialCorr,0.061579011001982854,0
2,M1,ResidualDCor,0.07960199004975124,0
2,M2,CMI,0.004975124378109453,1
2,M2,Pearson,0.004975124378109453,1
2,M2,PartialCorr,2.1171202467495226e-11,1
2,M2,ResidualDCor,0.004975124378109453,1
2,M3,CMI,0.8258706467661692,0
2,M3,Pearson,0.004975124378109453,1
2,M3,PartialCorr,0.014807534294600326,1
2,M3,ResidualDCor,0.004975124378109453,1
