seed,condition,method,value,fired
0,M1,CMI,0.004975124378109453,1
0,M1,Pearson,0.004975124378109453,1
0,M1,PartialCorr,6.736051976189687e-20,1
0,M1,ResidualDCor,0.004975124378109453,1
0,M2,CMI,0.004975124378109453,1
0,M2,Pearson,0.004975124378109453,1
0,M2,PartialCorr,1.950707692248437e-84,1
0,M2,ResidualDCor,0.004975124378109453,1
0,M3,CMI,0.009950248756218905,1
0,M3,Pearson,0.004975124378109453,1
0,M3,PartialCorr,8.728873474404165e-10,1
0,M3,ResidualDCor,0.004975124378109453,1
1,M1,CMI,0.004975124378109453,1
1,M1,Pearson,0.004975124378109453,1
1,M1,PartialCorr,2.1773009123890716e-16,1
1,M1,ResidualDCor,0.004975124378109453,1
1,M2,CMI,0.004975124378109453,1
1,M2,Pearson,0.004975124378109453,1
1,M2,PartialCorr,1.6384268861981595e-52,1
1,M2,ResidualDCor,0.004975124378109453,1
1,M3,CMI,0.9552238805970149,0
1,M3,Pearson,0.004975124378109453,1
1,M3,PartialCorr,0.06555373975725962,0
1,M3,ResidualDCor,0.014925373134328358,1
2,M1,CMI,0.004975124378109453,1
2,M1,Pearson,0.004975124378109453,1
2,M1,PartialCorr,7.86738513216815e-12,1
2,M1,ResidualDCor,0.004975124378109453,1
2,M2,CMI,0.004975124378109453,1
2,M2,Pearson,0.004975124378109453,1
2,M2,PartialCorr,3.914770930488154e-34,1
2,M2,ResidualDCor,0.004975124378109453,1
2,M3,CMI,0.1044776119402985,0
2,M3,Pearson,0.004975124378109453,1
2,M3,PartialCorr,0.8481106714344936,0
2,M3,ResidualDCor,0.004975124378109453,1
3,M1,CMI,0.004975124378109453,1
3,M1,Pearson,0.004975124378109453,1
3,M1,PartialCorr,3.120747661771282e-26,1
3,M1,ResidualDCor,0.004975124378109453,1
3,M2,CMI,0.004975124378109453,1
3,M2,Pearson,0.004975124378109453,1
3,M2,PartialCorr,7.584286194667678e-53,1
3,M2,ResidualDCor,0.004975124378109453,1
3,M3,CMI,0.22388059701492538,0
3,M3,Pearson,0.004975124378109453,1
3,M3,PartialCorr,3.533320815322731e-05,1
3,M3,ResidualDCor,0.004975124378109453,1
4,M1,CMI,0.004975124378109453,1
4,M1,Pearson,0.004975124378109453,1
4,M1,PartialCorr,1.1046011325789982e-35,1
4,M1,ResidualDCor,0.004975124378109453,1
4,M2,CMI,0.004975124378109453,1
4,M2,Pearson,0.004975124378109453,1
4,M2,PartialCorr,6.2529346734367125e-34,1
4,M2,ResidualDCor,0.004975124378109453,1
4,M3,CMI,0.004975124378109453,1
4,M3,Pearson,0.004975124378109453,1
4,M3,PartialCorr,4.0113699673928455e-08,1
4,M3,ResidualDCor,0.004975124378109453,1
5,M1,CMI,0.004975124378109453,1
5,M1,Pearson,0.004975124378109453,1
5,M1,PartialCorr,4.134607498163459e-17,1
5,M1,ResidualDCor,0.004975124378109453,1
5,M2,CMI,0.004975124378109453,1
5,M2,Pearson,0.004975124378109453,1
5,M2,PartialCorr,1.9180991857922503e-50,1
5,M2,ResidualDCor,0.004975124378109453,1
5,M3,CMI,0.05970149253731343,0
5,M3,Pearson,0.004975124378109453,1
5,M3,PartialCorr,0.0002316036478507321,1
5,M3,ResidualDCor,0.004975124378109453,1
6,M1,CMI,0.004975124378109453,1
6,M1,Pearson,0.004975124378109453,1
6,M1,PartialCorr,1.2101280341460835e-14,1
6,M1,ResidualDCor,0.004975124378109453,1
6,M2,CMI,0.004975124378109453,1
6,M2,Pearson,0.004975124378109453,1
6,M2,PartialCorr,2.195174393455633e-60,1
6,M2,ResidualDCor,0.004975124378109453,1
6,M3,CMI,0.04477611940298507,1
6,M3,Pearson,0.004975124378109453,1
6,M3,PartialCorr,0.09040763385534877,0
6,M3,ResidualDCor,0.05970149253731343,0
7,M1,CMI,0.004975124378109453,1
7,M1,Pearson,0.004975124378109453,1
7,M1,PartialCorr,5.135815822459484e-14,1
7,M1,ResidualDCor,0.004975124378109453,1
7,M2,CMI,0.004975124378109453,1
7,M2,Pearson,0.004975124378109453,1
7,M2,PartialCorr,1.4813244531929696e-46,1
7,M2,ResidualDCor,0.004975124378109453,1
7,M3,CMI,0.44776119402985076,0
7,M3,Pearson,0.004975124378109453,1
7,M3,PartialCorr,3.054528244129335e-05,1
7,M3,ResidualDCor,0.004975124378109453,1
8,M1,CMI,0.004975124378109453,1
8,M1,Pearson,0.004975124378109453,1
8,M1,PartialCorr,6.27148467054397e-16,1
8,M1,ResidualDCor,0.004975124378109453,1
8,M2,CMI,0.004975124378109453,1
8,M2,Pearson,0.004975124378109453,1
8,M2,PartialCorr,4.790693175871658e-47,1
8,M2,ResidualDCor,0.004975124378109453,1
8,M3,CMI,0.3482587064676617,0
8,M3,Pearson,0.004975124378109453,1
8,M3,PartialCorr,0.09231694998510667,0
8,M3,ResidualDCor,0.10945273631840796,0
9,M1,CMI,0.004975124378109453,1
9,M1,Pearson,0.004975124378109453,1
9,M1,PartialCorr,3.5765189330618177e-23,1
9,M1,ResidualDCor,0.004975124378109453,1
9,M2,CMI,0.004975124378109453,1
9,M2,Pearson,0.004975124378109453,1
9,M2,PartialCorr,1.9406619958676953e-36,1
9,M2,ResidualDCor,0.004975124378109453,1
9,M3,CMI,0.05472636815920398,0
9,M3,Pearson,0.004975124378109453,1
9,M3,PartialCorr,0.07561368814402669,0
9,M3,ResidualDCor,0.1044776119402985,0
10,M1,CMI,0.004975124378109453,1
10,M1,Pearson,0.004975124378109453,1
10,M1,PartialCorr,6.5942208868688215e-12,1
10,M1,ResidualDCor,0.004975124378109453,1
10,M2,CMI,0.004975124378109453,1
10,M2,Pearson,0.004975124378109453,1
10,M2,PartialCorr,5.58403707033414e-46,1
10,M2,ResidualDCor,0.004975124378109453,1
10,M3,CMI,0.14925373134328357,0
10,M3,Pearson,0.004975124378109453,1
10,M3,PartialCorr,1.7563454073193554e-06,1
10,M3,ResidualDCor,0.004975124378109453,1
11,M1,CMI,0.004975124378109453,1
11,M1,Pearson,0.004975124378109453,1
11,M1,PartialCorr,1.8093518321537465e-13,1
11,M1,ResidualDCor,0.004975124378109453,1
11,M2,CMI,0.004975124378109453,1
11,M2,Pearson,0.004975124378109453,1
11,M2,PartialCorr,5.890210737070233e-47,1
11,M2,ResidualDCor,0.004975124378109453,1
11,M3,CMI,0.19900497512437812,0
11,M3,Pearson,0.004975124378109453,1
11,M3,PartialCorr,0.004317760176342058,1
11,M3,ResidualDCor,0.009950248756218905,1
12,M1,CMI,0.004975124378109453,1
12,M1,Pearson,0.004975124378109453,1
12,M1,PartialCorr,1.956681639690815e-11,1
12,M1,ResidualDCor,0.004975124378109453,1
12,M2,CMI,0.004975124378109453,1
12,M2,Pearson,0.004975124378109453,1
12,M2,PartialCorr,1.9376544034053654e-55,1
12,M2,ResidualDCor,0.004975124378109453,1
12,M3,CMI,0.18407960199004975,0
12,M3,Pearson,0.004975124378109453,1
12,M3,PartialCorr,0.00044875105893289166,1
12,M3,ResidualDCor,0.004975124378109453,1
13,M1,CMI,0.004975124378109453,1
13,M1,Pearson,0.004975124378109453,1
13,M1,PartialCorr,1.42551197989217e-21,1
13,M1,ResidualDCor,0.004975124378109453,1
13,M2,CMI,0.004975124378109453,1
13,M2,Pearson,0.004975124378109453,1
13,M2,PartialCorr,2.4841412683971164e-44,1
13,M2,ResidualDCor,0.004975124378109453,1
13,M3,CMI,0.48258706467661694,0
13,M3,Pearson,0.004975124378109453,1
13,M3,PartialCorr,0.001325489233701146,1
13,M3,ResidualDCor,0.004975124378109453,1
14,M1,CMI,0.004975124378109453,1
14,M1,Pearson,0.004975124378109453,1
14,M1,PartialCorr,3.4193109437473086e-25,1
14,M1,ResidualDCor,0.004975124378109453,1
14,M2,CMI,0.004975124378109453,1
14,M2,Pearson,0.004975124378109453,1
14,M2,PartialCorr,2.240000957807399e-26,1
14,M2,ResidualDCor,0.004975124378109453,1
14,M3,CMI,0.6268656716417911,0
14,M3,Pearson,0.004975124378109453,1
14,M3,PartialCorr,4.272119659015647e-07,1
14,M3,ResidualDCor,0.004975124378109453,1
