seed,condition,method,value,fired
0,M1,CMI,0.004975124378109453,1
0,M1,Pearson,0.004975124378109453,1
0,M1,PartialCorr,6.081432403484533e-28,1
0,M1,ResidualDCor,0.004975124378109453,1
0,M1,LLMJudge,0.15,0
0,M2,CMI,0.004975124378109453,1
0,M2,Pearson,0.004975124378109453,1
0,M2,PartialCorr,3.586200950605561e-60,1
0,M2,ResidualDCor,0.004975124378109453,1
0,M2,LLMJudge,0.15,0
0,M3,CMI,0.8258706467661692,0
0,M3,Pearson,0.004975124378109453,1
0,M3,PartialCorr,0.06722872835578592,0
0,M3,ResidualDCor,0.004975124378109453,1
0,M3,LLMJudge,0.15,0
1,M1,CMI,0.004975124378109453,1
1,M1,Pearson,0.004975124378109453,1
1,M1,PartialCorr,9.378884427979981e-36,1
1,M1,ResidualDCor,0.004975124378109453,1
1,M1,LLMJudge,0.15,0
1,M2,CMI,0.004975124378109453,1
1,M2,Pearson,0.004975124378109453,1
1,M2,PartialCorr,1.5602270608477878e-56,1
1,M2,ResidualDCor,0.004975124378109453,1
1,M2,LLMJudge,0.15,0
1,M3,CMI,1.0,0
1,M3,Pearson,0.004975124378109453,1
1,M3,PartialCorr,1.1441666272567833e-07,1
1,M3,ResidualDCor,0.004975124378109453,1
1,M3,LLMJudge,0.07,0
2,M1,CMI,0.004975124378109453,1
2,M1,Pearson,0.004975124378109453,1
2,M1,PartialCorr,4.5326773310145756e-21,1
2,M1,ResidualDCor,0.004975124378109453,1
2,M1,LLMJudge,0.1,0
2,M2,CMI,0.004975124378109453,1
2,M2,Pearson,0.004975124378109453,1
2,M2,PartialCorr,4.796002487533024e-40,1
2,M2,ResidualDCor,0.004975124378109453,1
2,M2,LLMJudge,0.35,0
2,M3,CMI,0.3034825870646766,0
2,M3,Pearson,0.004975124378109453,1
2,M3,PartialCorr,0.014223832727268352,1
2,M3,ResidualDCor,0.004975124378109453,1
2,M3,LLMJudge,0.07,0
3,M1,CMI,0.004975124378109453,1
3,M1,Pearson,0.004975124378109453,1
3,M1,PartialCorr,5.682115817059758e-38,1
3,M1,ResidualDCor,0.004975124378109453,1
3,M1,LLMJudge,0.1,0
3,M2,CMI,0.004975124378109453,1
3,M2,Pearson,0.004975124378109453,1
3,M2,PartialCorr,3.8423218462801103e-62,1
3,M2,ResidualDCor,0.004975124378109453,1
3,M2,LLMJudge,0.2,0
3,M3,CMI,0.845771144278607,0
3,M3,Pearson,0.004975124378109453,1
3,M3,PartialCorr,0.7946624218924028,0
3,M3,ResidualDCor,0.5671641791044776,0
3,M3,LLMJudge,0.15,0
4,M1,CMI,0.004975124378109453,1
4,M1,Pearson,0.004975124378109453,1
4,M1,PartialCorr,3.2651669923040947e-47,1
4,M1,ResidualDCor,0.004975124378109453,1
4,M1,LLMJudge,0.15,0
4,M2,CMI,0.004975124378109453,1
4,M2,Pearson,0.004975124378109453,1
4,M2,PartialCorr,4.3969707699701774e-41,1
4,M2,ResidualDCor,0.004975124378109453,1
4,M2,LLMJudge,0.3,0
4,M3,CMI,0.18407960199004975,0
4,M3,Pearson,0.004975124378109453,1
4,M3,PartialCorr,0.14147971749602103,0
4,M3,ResidualDCor,0.1890547263681592,0
4,M3,LLMJudge,0.07,0
5,M1,CMI,0.004975124378109453,1
5,M1,Pearson,0.004975124378109453,1
5,M1,PartialCorr,2.799354296778004e-28,1
5,M1,ResidualDCor,0.004975124378109453,1
5,M1,LLMJudge,0.15,0
5,M2,CMI,0.004975124378109453,1
5,M2,Pearson,0.004975124378109453,1
5,M2,PartialCorr,1.6390811967489564e-57,1
5,M2,ResidualDCor,0.004975124378109453,1
5,M2,LLMJudge,0.15,0
5,M3,CMI,0.4129353233830846,0
5,M3,Pearson,0.004975124378109453,1
5,M3,PartialCorr,0.0345720476284231,1
5,M3,ResidualDCor,0.004975124378109453,1
5,M3,LLMJudge,0.15,0
6,M1,CMI,0.004975124378109453,1
6,M1,Pearson,0.004975124378109453,1
6,M1,PartialCorr,2.5683314110440754e-22,1
6,M1,ResidualDCor,0.004975124378109453,1
6,M1,LLMJudge,0.15,0
6,M2,CMI,0.004975124378109453,1
6,M2,Pearson,0.004975124378109453,1
6,M2,PartialCorr,1.049389456441386e-68,1
6,M2,ResidualDCor,0.004975124378109453,1
6,M2,LLMJudge,0.15,0
6,M3,CMI,0.5124378109452736,0
6,M3,Pearson,0.004975124378109453,1
6,M3,PartialCorr,0.019808267901607304,1
6,M3,ResidualDCor,0.009950248756218905,1
6,M3,LLMJudge,0.12,0
7,M1,CMI,0.004975124378109453,1
7,M1,Pearson,0.004975124378109453,1
7,M1,PartialCorr,4.82759027135113e-25,1
7,M1,ResidualDCor,0.004975124378109453,1
7,M1,LLMJudge,0.15,0
7,M2,CMI,0.004975124378109453,1
7,M2,Pearson,0.004975124378109453,1
7,M2,PartialCorr,3.0530145257868862e-55,1
7,M2,ResidualDCor,0.004975124378109453,1
7,M2,LLMJudge,0.15,0
7,M3,CMI,0.9402985074626866,0
7,M3,Pearson,0.004975124378109453,1
7,M3,PartialCorr,0.07153047024777473,0
7,M3,ResidualDCor,0.01990049751243781,1
7,M3,LLMJudge,0.1,0
8,M1,CMI,0.004975124378109453,1
8,M1,Pearson,0.004975124378109453,1
8,M1,PartialCorr,1.53029505267386e-28,1
8,M1,ResidualDCor,0.004975124378109453,1
8,M1,LLMJudge,0.2,0
8,M2,CMI,0.004975124378109453,1
8,M2,Pearson,0.004975124378109453,1
8,M2,PartialCorr,7.510822415191118e-54,1
8,M2,ResidualDCor,0.004975124378109453,1
8,M2,LLMJudge,0.72,1
8,M3,CMI,0.7512437810945274,0
8,M3,Pearson,0.004975124378109453,1
8,M3,PartialCorr,0.22452906645640514,0
8,M3,ResidualDCor,0.024875621890547265,1
8,M3,LLMJudge,0.15,0
9,M1,CMI,0.004975124378109453,1
9,M1,Pearson,0.004975124378109453,1
9,M1,PartialCorr,1.5117853699890455e-37,1
9,M1,ResidualDCor,0.004975124378109453,1
9,M1,LLMJudge,0.15,0
9,M2,CMI,0.004975124378109453,1
9,M2,Pearson,0.004975124378109453,1
9,M2,PartialCorr,2.3490294092825763e-44,1
9,M2,ResidualDCor,0.004975124378109453,1
9,M2,LLMJudge,0.15,0
9,M3,CMI,0.4527363184079602,0
9,M3,Pearson,0.004975124378109453,1
9,M3,PartialCorr,0.014668128570742192,1
9,M3,ResidualDCor,0.004975124378109453,1
9,M3,LLMJudge,0.75,1
10,M1,CMI,0.004975124378109453,1
10,M1,Pearson,0.004975124378109453,1
10,M1,PartialCorr,3.2637546074681077e-19,1
10,M1,ResidualDCor,0.004975124378109453,1
10,M1,LLMJudge,0.15,0
10,M2,CMI,0.004975124378109453,1
10,M2,Pearson,0.004975124378109453,1
10,M2,PartialCorr,5.587747743672908e-57,1
10,M2,ResidualDCor,0.004975124378109453,1
10,M2,LLMJudge,0.1,0
10,M3,CMI,0.5522388059701493,0
10,M3,Pearson,0.004975124378109453,1
10,M3,PartialCorr,0.2987296660328454,0
10,M3,ResidualDCor,0.06467661691542288,0
10,M3,LLMJudge,0.07,0
11,M1,CMI,0.004975124378109453,1
11,M1,Pearson,0.004975124378109453,1
11,M1,PartialCorr,1.3772693464424225e-22,1
11,M1,ResidualDCor,0.004975124378109453,1
11,M1,LLMJudge,0.2,0
11,M2,CMI,0.004975124378109453,1
11,M2,Pearson,0.004975124378109453,1
11,M2,PartialCorr,7.29875084039002e-55,1
11,M2,ResidualDCor,0.004975124378109453,1
11,M2,LLMJudge,0.1,0
11,M3,CMI,0.3482587064676617,0
11,M3,Pearson,0.004975124378109453,1
11,M3,PartialCorr,0.6099697002826966,0
11,M3,ResidualDCor,0.03980099502487562,1
11,M3,LLMJudge,0.1,0
12,M1,CMI,0.004975124378109453,1
12,M1,Pearson,0.004975124378109453,1
12,M1,PartialCorr,1.3729643282485833e-17,1
12,M1,ResidualDCor,0.004975124378109453,1
12,M1,LLMJudge,0.1,0
12,M2,CMI,0.004975124378109453,1
12,M2,Pearson,0.004975124378109453,1
12,M2,PartialCorr,1.474766009789349e-57,1
12,M2,ResidualDCor,0.004975124378109453,1
12,M2,LLMJudge,0.15,0
12,M3,CMI,0.32338308457711445,0
12,M3,Pearson,0.004975124378109453,1
12,M3,PartialCorr,0.4376114714464413,0
12,M3,ResidualDCor,0.16417910447761194,0
12,M3,LLMJudge,0.2,0
13,M1,CMI,0.004975124378109453,1
13,M1,Pearson,0.004975124378109453,1
13,M1,PartialCorr,1.3419713456495677e-36,1
13,M1,ResidualDCor,0.004975124378109453,1
13,M1,LLMJudge,0.1,0
13,M2,CMI,0.004975124378109453,1
13,M2,Pearson,0.004975124378109453,1
13,M2,PartialCorr,1.1234279063356895e-47,1
13,M2,ResidualDCor,0.004975124378109453,1
13,M2,LLMJudge,0.85,1
13,M3,CMI,0.6517412935323383,0
13,M3,Pearson,0.004975124378109453,1
13,M3,PartialCorr,0.6459523968796754,0
13,M3,ResidualDCor,0.7263681592039801,0
13,M3,LLMJudge,0.15,0
14,M1,CMI,0.004975124378109453,1
14,M1,Pearson,0.004975124378109453,1
14,M1,PartialCorr,2.1673935024956993e-34,1
14,M1,ResidualDCor,0.004975124378109453,1
14,M1,LLMJudge,0.1,0
14,M2,CMI,0.009950248756218905,1
14,M2,Pearson,0.004975124378109453,1
14,M2,PartialCorr,6.149840217228518e-29,1
14,M2,ResidualDCor,0.004975124378109453,1
14,M2,LLMJudge,0.15,0
14,M3,CMI,0.8159203980099502,0
14,M3,Pearson,0.004975124378109453,1
14,M3,PartialCorr,0.7739855524532497,0
14,M3,ResidualDCor,0.43283582089552236,0
14,M3,LLMJudge,0.15,0
