seed,condition,method,value,fired
0,M1,CMI,0.029850746268656716,1
0,M1,Pearson,0.004975124378109453,1
0,M1,PartialCorr,1.73558743525334e-13,1
0,M1,ResidualDCor,0.004975124378109453,1
0,M2,CMI,0.009950248756218905,1
0,M2,Pearson,0.004975124378109453,1
0,M2,PartialCorr,1.0713517699249732e-06,1
0,M2,ResidualDCor,0.004975124378109453,1
0,M3,CMI,0.004975124378109453,1
0,M3,Pearson,0.004975124378109453,1
0,M3,PartialCorr,8.763403445406122e-13,1
0,M3,ResidualDCor,0.004975124378109453,1
1,M1,CMI,0.19402985074626866,0
1,M1,Pearson,0.004975124378109453,1
1,M1,PartialCorr,2.5175150136748927e-06,1
1,M1,ResidualDCor,0.004975124378109453,1
1,M2,CMI,0.05472636815920398,0
1,M2,Pearson,0.004975124378109453,1
1,M2,PartialCorr,6.373575985659658e-07,1
1,M2,ResidualDCor,0.004975124378109453,1
1,M3,CMI,0.004975124378109453,1
1,M3,Pearson,0.004975124378109453,1
1,M3,PartialCorr,3.384886230770273e-14,1
1,M3,ResidualDCor,0.004975124378109453,1
2,M1,CMI,0.004975124378109453,1
2,M1,Pearson,0.004975124378109453,1
2,M1,PartialCorr,1.067462026630762e-15,1
2,M1,ResidualDCor,0.004975124378109453,1
2,M2,CMI,0.05472636815920398,0
2,M2,Pearson,0.009950248756218905,1
2,M2,PartialCorr,0.002230779547208391,1
2,M2,ResidualDCor,0.014925373134328358,1
2,M3,CMI,0.004975124378109453,1
2,M3,Pearson,0.004975124378109453,1
2,M3,PartialCorr,2.001467976469125e-14,1
2,M3,ResidualDCor,0.004975124378109453,1
